Person;BewertungEingabe;BewertungSicherheit;ProblemeSpeichern;ProblemeEntsperren;BevorzugenVorPasswort;QuelleKlopfzeichen;Tätigkeit;Alter
answers/0rMGyCErcvOzZvRIxhQYJ8zYp1a2;4;2;3;2;5;;Wissenschaftlicher Mitarbeiter, Chemie;28
answers/0tMVNggVrlVZ6qgDZlBjeR5D3U93;2;1;3;3;5;Bekannter Rhythmus;Lehrerin;51
answers/1Zy2OKy34sVuHikk2NT2o9nHFry2;1;2;1;1;3;bekannter Rhythmus;Wirtschaftsing;23
answers/1nSUZcLVwLRasjbroGpYcw575Z52;1;4;1;1;4;Eine meiner Lieblingsmelodien;Student der Buchwissenschaft;18
answers/2CKQGamNOcb4sOPaXv6MiMzUyWC2;1;2;1;1;4;bekannte Melodie;Tiermedizin-Studium;18
answers/2EyLzAtaL6Yla95KgHDUNh8Tar22;2;2;1;4;4;gängiger Anfeuerungsrhythmus bei einer Sportveranstaltung;Doktorand in der Lateinischen Philologie;27
answers/2dBccM3qcsTFAtCXhYXTIm9BJe52;1;1;1;1;5;Rhythmus eines Liedes;Philosophie Studium;23
answers/2n6epsYK7sRbvQzJxqgx6K70Aei1;3;4;4;3;4;;Physik;19
answers/3lGPj0ylyFZgZHeFlU5BcBKdsCF3;2;2;2;2;5;;;
answers/3qqwGWLRWCYAs0a2eq9g6AeOwbh1;2;2;4;4;5;Ich hab mir Rhythmen selbst ausgedacht oder mich an Musik orientiert.;Ich studiere Software Engineering im Master.;21
answers/48dBxaaAg6NzuCUdQXtE3Ymy30m1;2;4;4;1;5;;LA Gymnasium;20
answers/4U7pDXZ2jKPBZQElqPctcHDqJNo1;3;1;4;2;5;Habe mir überlegt wie viele sinnvolle Kombinationen es geben könnte und dann einfach eine ausgewählt die einfach einzugeben war ;Wissenschaftlicher Mitarbeiter (Bereich Usable Security) ;30
answers/4cQnDUl5Z6N6ykYJGQLnaFlN00n2;5;5;5;5;5;eine Melodie;Wissenschaftler;50
answers/4lwR58sLsVbTaKC0fL8yVwrIZzc2;3;2;1;4;2;Pokemon Black&White Item Obtained - Melodie;Phonetik und Sprachverarbeitung;18
answers/4yFF7cbejRX8IbP7iXxfRKr0eVZ2;4;2;1;4;5;Komplexer Rhythmus;Studium Humanmedizin;21
answers/5gs4TPbUdTcd8XB72nfDYnzFVo72;4;2;4;1;5;spontan ausgesucht;Lehramts-Studium;20
answers/5ygBMTTiYSfObeTS98VYW3ZH5Vh1;2;1;4;4;5;Melodie (aus Ermangelung eines Kommentar-Felds: Im manchen Browsern führt Doppel-Tap zu Zoom, was die Eingabe des Musters unmöglich macht);Informatik;25
answers/62HPGJYfnHT3QfWvhiL9y9asOcT2;1;2;2;2;4;Ausgedacht;Informatikbachelor;22
answers/6B44u8hgomhlrSzdskEUhMSojMv1;2;2;3;1;5;was einfaches. Schwerere Klopfzeichen sind schwerer zu merken als übliche Passwörter;Physik-Technikerin;30
answers/6CEZS96tuOWKV5kfgsJkQ97Y4uz1;2;4;2;2;4;spontan;Naturwissenschaftler;44
answers/6Eodfj9GMlckURikj90q1Dpm2Lo1;3;2;4;1;1;Intuition;Prof.;40
answers/6F808DOylRXUhPKxX5h1MErs6BL2;2;1;1;2;4;spontan;Doktorandin/Geographie;28
answers/6k6MHNPVs1V8TN2baMuWoXNyiyd2;2;4;;;;;;
answers/7YK98PKznVdbR12Qch0A7BWP3Ib2;1;2;1;1;3;erste Kombination, die mir eingefallen ist (vertrautes Muster );Psychologe;31
answers/7ntqHbo86rVVx6Py0STBmThbvfy2;1;4;1;3;2;Intuitiv die Zahl drei, aber das wäre in der Realität sicher ein anderes muster, z.B. ein Liedrhythmus oder so;Verwaltungsangestellter;35
answers/7oetuCKCCOU78TZk0bfuerJeltc2;1;1;4;1;5;Zufällig;Physik;22
answers/886wzPO2n8cDXCKZp9ds4WwKCAj1;1;2;1;1;4;Melodie;BWL Bachelor;22
answers/8PiED1icv8fmebhk3BreXjSdtrH2;1;3;1;1;1;"Beim ersten Versuch hab ich den Rhythmus eines Songs im 7/8 Takt genommen. Beim zweiten Mal wollte ich etwas ""sichereres"" und habe eine Mischung aus Triolen, Überbindungen und punktierten Noten probiert.";Lehramt Gymnasium (Mathematik, Musik);22
answers/9ORHrP0TPiO3BohPvaRCPlMABOn2;1;2;2;2;5;"Bekannte Rhythmen im Kopf ""gesungen"" ";Studium;20
answers/9r3sVWt0kKcVkeLSl6GdOy7OiiQ2;2;3;3;4;4;Sport Anfeuerungsrufe und Rhythmen aus dem Musikunterricht;Psychologie;20
answers/9xcBNJosoLc5vzNmYshiPskzmso1;1;3;1;2;4;Verschiedenes, z.B. der Rhythmus eines Liedes oder Klopfmuster, die mir schwierig erschienen (also die jemand anderes durch bloßes zuhören nicht so leicht nachklopfen könnte);Masterstudium Psychologie;23
answers/9zqABrLflFfeqVzsU3KEc9qetvc2;1;4;2;2;2;kA;Wissenschaftl. Mitarbeiter / Doktorand;32
answers/AMZgs4d58TT9uTltVr33dkeOVuL2;1;2;1;1;4;Weiß ich nicht...habe mir etwas simples ausgedacht, das schnell geht - eig nur zum Testen;techn. Angestellte im öffentl. Dienst;24
answers/Afn7wC2IFIZVSNP9Ni6SF50Hgd63;1;2;1;1;2;Ganz spontan;Sekretariat;56
answers/BDnNubTpM9bCK01MAd6aEXmx4z73;4;4;5;2;5;hab an das SOS -Zeichen gedacht;Studium Psychologie ;38
answers/BfgTagnBErRkovb6csWs8iMjXtY2;2;2;1;1;5;Rythmus muster im kopf;Student (Jura);18
answers/BmDLxym2W8QY6jbeR9n0nGS7uKp2;1;3;1;1;1;Bestimmte lateinamerikanische Rhythmuspattern;Lateinischer Philologe;30
answers/C4iRtOiNo4gvbMr0SZpk80XzaiB2;3;2;3;1;3;1x Song, 1 x Morsezeichen;Sinologin;39
answers/CIE9eHV4FXMkIar9rNrm0IwhLjh1;3;2;2;4;3;Musik Rythmus;Studium MedieninformatikS;28
answers/CMOjRQ7vH1PTGOkqlC55S7VtqKv2;3;2;3;2;5;Musik;Germanistik ;20
answers/Ck5udWt8pfVqDN6PIGEVVGXtnqR2;2;2;2;3;2;Morsecode, Rhythmen aus Musikstücken;Musikwissenschaftler;34
answers/CrifTkyLn3hxqSHJ08ihM7y2nuz1;2;2;4;2;5;indelligenß;infomadigg;27
answers/CwD0zg2pCAX4IOVUsNfJDmWtTLz1;1;2;1;1;5;Lied;Verwaltungsangestellte;60
answers/DIbMSaWKvJb7RAPanQ4UpPxvqSP2;1;4;1;1;1;Das gibt es schon für den Mac.;CIO;51
answers/DNZAeCvM54Yt3UJYvIhU1IfonRm2;1;3;1;2;5;Zufall;Jura Studium;19
answers/DiFSzFRB2MhoUc3WdAW1jgutJ8p1;2;3;2;1;4;;;
answers/Dno7Va6f2ASPEG1p85LcpnoMxlo2;1;4;1;1;3;Zufällig ;;36
answers/Dxu40axGxCbjgiW0OIoj8KFsJbd2;2;5;2;1;1;Teil aus afrikanischem Trommel-Rhythmus;Philosophie;67
answers/EGIY6szPFpP911KyxBSHgS3y4Sj1;4;3;4;4;3;Herum spielen, es ist allerdings nicht ganz klar, wie es genau registriert wird bezüglich Dauer eines Taps.;Informatikstudent;27
answers/EWuQI5Ug3WM68XJdoSlUt6e0GN13;1;4;1;1;2;;;
answers/EXq3V5a27AVEYsioWDNKJY6iiI42;5;3;5;5;5;Musik im Kopf;Verwaltung;50
answers/EYakFrfYXJbjYqc08Y2BlVgYq6w2;2;3;1;2;3;musik;studium medieninformatik;23
answers/Ew6kM9Z62KQjRdnlT6VpliyuoOj2;2;4;1;1;2;;Studium Wirtschaftsinformatik ;23
answers/F4rgAv1FrgZh45eaEZQRtL6ijf02;2;3;1;2;4;;Epidemiologin;28
answers/FKoIlsMBdRbFdyOguMCFmYVMDyT2;4;3;1;1;5;Ich habe einfach geklickt.;Soziologie;28
answers/FX7VuT9dVffiE7tYXd4S6b5zgEf2;1;2;1;1;5;erster Gedanke;Student;24
