Person;BewertungEingabe;BewertungSicherheit;ProblemeSpeichern;ProblemeEntsperren;BevorzugenVorPasswort;QuelleKlopfzeichen;Tätigkeit;Alter
answers/1Zy2OKy34sVuHikk2NT2o9nHFry2;1;2;1;1;3;bekannter Rhythmus;Wirtschaftsing;23
answers/2n6epsYK7sRbvQzJxqgx6K70Aei1;3;4;4;3;4;;Physik;19
answers/3qqwGWLRWCYAs0a2eq9g6AeOwbh1;2;2;4;4;5;Ich hab mir Rhythmen selbst ausgedacht oder mich an Musik orientiert.;Ich studiere Software Engineering im Master.;21
answers/5ygBMTTiYSfObeTS98VYW3ZH5Vh1;2;1;4;4;5;Melodie (aus Ermangelung eines Kommentar-Felds: Im manchen Browsern führt Doppel-Tap zu Zoom, was die Eingabe des Musters unmöglich macht);Informatik;25
answers/62HPGJYfnHT3QfWvhiL9y9asOcT2;1;2;2;2;4;Ausgedacht;Informatikbachelor;22
answers/6B44u8hgomhlrSzdskEUhMSojMv1;2;2;3;1;5;was einfaches. Schwerere Klopfzeichen sind schwerer zu merken als übliche Passwörter;Physik-Technikerin;30
answers/AMZgs4d58TT9uTltVr33dkeOVuL2;1;2;1;1;4;Weiß ich nicht...habe mir etwas simples ausgedacht, das schnell geht - eig nur zum Testen;techn. Angestellte im öffentl. Dienst;24
answers/CIE9eHV4FXMkIar9rNrm0IwhLjh1;3;2;2;4;3;Musik Rythmus;Studium MedieninformatikS;28
answers/CrifTkyLn3hxqSHJ08ihM7y2nuz1;2;2;4;2;5;indelligenß;infomadigg;27
answers/DIbMSaWKvJb7RAPanQ4UpPxvqSP2;1;4;1;1;1;Das gibt es schon für den Mac.;CIO;51
answers/EGIY6szPFpP911KyxBSHgS3y4Sj1;4;3;4;4;3;Herum spielen, es ist allerdings nicht ganz klar, wie es genau registriert wird bezüglich Dauer eines Taps.;Informatikstudent;27
answers/EYakFrfYXJbjYqc08Y2BlVgYq6w2;2;3;1;2;3;musik;studium medieninformatik;23
answers/Ew6kM9Z62KQjRdnlT6VpliyuoOj2;2;4;1;1;2;;Studium Wirtschaftsinformatik ;23
answers/GC4Kl5jBEHTv4U9v6LCqIwEECGF2;2;1;2;2;5;das erste was mir einviel nachdem ich an klopfzeichen dachte...;Informatik;27
answers/GTTnSpPE1jXWS0BdD099twX4FzH3;4;4;3;2;2;Takt von einem Lied;Medieninformatik;25
answers/HCCjh6vYkyRZ37PFdpWejpEPHc42;1;3;1;1;3;"Intuition

";SAP Entwickler;26
answers/JVELZipNV3hdMxHWcWdNHalHytt1;3;1;3;1;5;Kollege;IT;
answers/JnYkeJa5okRjZgLz3fH4YSaFKJy2;2;3;1;1;3;Intuition;IT;25
